month,TEMP_surface_0_100,PSAL_surface_0_100,RHO_surface_0_100,N2_surface_0_100,SOUND_surface_0_100,TEMP_thermocline_100_500,PSAL_thermocline_100_500,RHO_thermocline_100_500,N2_thermocline_100_500,SOUND_thermocline_100_500,TEMP_upper_mesopelagic_500_1000,PSAL_upper_mesopelagic_500_1000,RHO_upper_mesopelagic_500_1000,N2_upper_mesopelagic_500_1000,SOUND_upper_mesopelagic_500_1000,TEMP_lower_mesopelagic_1000_2000,PSAL_lower_mesopelagic_1000_2000,RHO_lower_mesopelagic_1000_2000,N2_lower_mesopelagic_1000_2000,SOUND_lower_mesopelagic_1000_2000
2022-11-01,25.45858,34.000763,1022.10895,-0.00032108909669865444,1534.5874,11.94178,35.04331,1025.6462,-4.7753285999919915e-05,1501.384,8.095701,35.008522,1026.3877,-1.0489004795543325e-05,1495.07,6.478462219238281,34.95515441894531,1026.66845703125,-7.465003709497664e-06,1493.3614501953125
2022-12-01,27.743551,33.5998,1021.3312,-0.00015455675741516447,1539.4135,13.977682,34.953953,1025.1676,-8.501725971956977e-05,1507.0989,8.19235,34.9786,1026.3444,-1.070200621707693e-05,1495.4026,4.534899711608887,34.84602737426758,1026.9698486328125,-6.471862415498981e-06,1493.2735595703125
2023-01-01,27.77,34.522736,1022.0643,-0.00011283701781079116,1540.8699,14.761844,34.99859,1025.0465,-9.4140630218704e-05,1509.5488,8.588154,34.993195,1026.2769,-1.0522858401775768e-05,1496.6278,5.064311981201172,34.86787414550781,1026.88134765625,-7.037685455566766e-06,1493.7432861328125
2023-02-01,26.918001,32.56332,1020.66705,-0.0005215658613767836,1536.613,15.634684,34.917046,1024.8065,-0.00011834919011220509,1511.8671,8.4428,34.98875,1026.3025,-1.1621794786387775e-05,1496.3542,4.618900299072266,34.85432434082031,1026.959716796875,-6.5220928377529665e-06,1493.625732421875
2023-03-01,27.564947,33.620003,1021.383,-0.00016825421523025612,1539.5693,15.50994,34.9066,1024.8232,-0.00011477196616195409,1511.7339,8.888408,34.991333,1026.2153,-1.1441990245244759e-05,1497.7946,5.033187389373779,34.86093521118164,1026.882080078125,-7.38918672797067e-06,1493.914306640625
2023-04-01,28.923752,32.77825,1020.43787,-0.00012646849157598347,1541.2014,14.894955,34.932632,1024.9672,-0.00011203656693719135,1509.7942,8.29105,34.9849,1026.3296,-1.1245065940137294e-05,1495.7804,4.536400318145752,34.85137176513672,1026.973876953125,-6.453339749330634e-06,1493.2877197265625
2023-05-01,26.7349,30.626587,1019.1542,-0.0003685514864698731,1534.7352,13.008169,31.49328,1022.59296,-7.500253313830901e-05,1500.4773,8.054935,31.598183,1023.66754,-1.1971745583550075e-05,1490.5251,,,,,
2023-06-01,29.1427,33.9922,1021.36523,-9.857731385406421e-05,1542.944,14.206045,35.009136,1025.1661,-0.000105767221357125,1507.9083,8.55315,35.0076,1026.2955,-1.1850159267292954e-05,1496.7876,4.667524814605713,34.85764694213867,1026.95263671875,-6.216972242230912e-06,1493.836181640625
2023-07-01,28.42125,33.59275,1021.19006,-0.00011576574432665714,1540.9324,13.605454,34.975452,1025.2592,-9.429727343002678e-05,1505.98,8.1817,34.9833,1026.3503,-1.0605366788567137e-05,1495.3698,4.621574878692627,34.85540008544922,1026.9599609375,-6.3258912231620475e-06,1493.6497802734375
2023-08-01,27.329401,33.5996,1021.41376,-0.00011576045300413377,1538.5363,14.033591,34.965954,1025.1661,-9.18004777904144e-05,1507.3071,8.27605,34.98535,1026.3331,-1.0326482520676778e-05,1495.7296,4.6935248374938965,34.85834884643555,1026.947998046875,-6.481814371257282e-06,1493.9447021484375
2023-09-01,26.991299,33.995247,1021.798,-0.0003250302016278958,1538.3204,12.930099,34.98356,1025.4008,-7.509809108445913e-05,1503.9336,8.0365,34.977806,1026.3749,-9.768065589560823e-06,1494.5365,4.879000186920166,34.86118698120117,1026.9130859375,-6.114195824216631e-06,1492.991943359375
2023-10-01,21.138214,34.62113,1023.46906,0.013652111911698543,1522.5005,14.859455,34.84591,1024.905,-8.787697029137914e-05,1509.7539,8.3273,34.98065,1026.3191,-1.1337577263241558e-05,1495.9144,4.42549991607666,34.841575622558594,1026.9881591796875,-6.423446291935226e-06,1492.821044921875
