file,date,latitude,longitude,ocean,profiler_type,institution,date_update,source,parameters,parameter_data_mode
aoml/3902365/profiles/D3902365_017.nc,2023-07-26T00:22:37,-4.072,-132.858,P,846,AO,2024-05-16 11:13:00,core,,
coriolis/2903776/profiles/D2903776_021.nc,2023-07-31T23:48:20,7.076,-15.98599999999999,A,844,IF,2025-08-28 14:00:09,core,,
aoml/5906728/profiles/D5906728_068.nc,2023-08-03T04:28:15,0.311,132.8,P,853,AO,2023-09-13 21:34:57,core,,
aoml/3902365/profiles/D3902365_018.nc,2023-08-05T06:49:06,-3.443,-133.045,P,846,AO,2024-05-16 11:13:00,core,,
coriolis/2903776/profiles/D2903776_023.nc,2023-08-21T03:49:20,7.081,-16.335000000000008,A,844,IF,2025-08-28 14:00:09,core,,
aoml/5906728/profiles/D5906728_070.nc,2023-08-22T19:39:52,0.698,131.649,P,853,AO,2024-08-15 23:38:47,core,,
aoml/3902365/profiles/D3902365_020.nc,2023-08-25T20:09:02,-3.559,-133.704,P,846,AO,2024-05-16 11:13:10,core,,
aoml/5906728/profiles/D5906728_071.nc,2023-09-01T14:59:31,1.147,129.997,P,853,AO,2024-08-15 23:38:47,core,,
coriolis/7900507/profiles/D7900507_240.nc,2023-09-02T19:52:25,5.73,-12.735000000000014,A,846,IF,2025-04-06 08:32:11,core,,
aoml/5905290/profiles/D5905290_184.nc,2023-09-03T08:52:04,-3.922,-129.751,P,863,AO,2025-01-31 14:08:43,core,,
aoml/5906728/profiles/D5906728_072.nc,2023-09-11T10:29:39,2.073,129.993,P,853,AO,2024-08-15 23:38:47,core,,
coriolis/7900507/profiles/D7900507_241.nc,2023-09-12T18:43:12,5.67,-12.37100000000001,A,846,IF,2025-04-06 08:32:12,core,,
aoml/3902365/profiles/D3902365_022.nc,2023-09-15T09:33:51,-4.014,-134.5,P,846,AO,2024-05-16 11:13:10,core,,
aoml/5906728/profiles/D5906728_074.nc,2023-10-01T01:43:55,2.049,130.93399999999997,P,853,AO,2024-08-15 23:38:47,core,,
coriolis/7900507/profiles/D7900507_243.nc,2023-10-02T17:43:51,5.698,-11.949000000000012,A,846,IF,2025-04-06 08:32:12,core,,
aoml/5905290/profiles/D5905290_187.nc,2023-10-03T08:25:25,-3.698,-130.498,P,863,AO,2025-01-31 14:08:44,core,,
csiro/5905417/profiles/D5905417_183.nc,2023-10-09T21:10:55,-15.853,118.43799999999999,I,863,CS,2025-02-28 00:48:12,core,,
aoml/5905290/profiles/D5905290_188.nc,2023-10-13T09:12:51,-3.191,-130.828,P,863,AO,2025-01-31 14:08:44,core,,
coriolis/2903776/profiles/D2903776_029.nc,2023-10-20T15:45:20,6.381,-16.699000000000012,A,844,IF,2025-08-28 14:00:09,core,,
aoml/5905290/profiles/D5905290_189.nc,2023-10-23T08:24:24,-2.898,-130.756,P,863,AO,2025-01-31 14:08:45,core,,
coriolis/2903776/profiles/D2903776_030.nc,2023-10-30T17:44:20,6.378,-16.156000000000006,A,844,IF,2025-08-28 14:00:09,core,,
coriolis/3902477/profiles/R3902477_059.nc,2023-11-01T05:27:00,-7.984,124.37700000000001,I,844,IF,2023-11-20 09:39:29,core,,
aoml/5906548/profiles/D5906548_035.nc,2023-11-07T03:29:46,-2.154,-131.593,P,846,AO,2024-04-24 12:50:20,core,,
coriolis/3902477/profiles/R3902477_060.nc,2023-11-11T05:27:00,-7.652,124.51400000000001,I,844,IF,2023-11-20 09:39:29,core,,
coriolis/7900507/profiles/D7900507_247.nc,2023-11-11T17:38:35,5.438,-11.372000000000014,A,846,IF,2025-04-06 08:32:14,core,,
coriolis/2903776/profiles/D2903776_032.nc,2023-11-19T21:53:20,6.524,-15.556000000000012,A,844,IF,2025-08-28 14:00:09,core,,
aoml/5906548/profiles/D5906548_037.nc,2023-11-27T14:40:05,-2.282,-130.662,P,846,AO,2024-04-24 12:50:21,core,,
coriolis/3902477/profiles/R3902477_062.nc,2023-12-01T05:28:00,-7.679,124.68299999999999,I,844,IF,2023-12-01 06:30:27,core,,
coriolis/2903776/profiles/D2903776_034.nc,2023-12-10T01:56:20,6.252,-15.653999999999996,A,844,IF,2025-08-28 14:00:10,core,,
coriolis/3902477/profiles/R3902477_063.nc,2023-12-10T15:38:00,-7.627,124.23500000000001,I,844,IF,2023-12-10 16:28:46,core,,
aoml/3902365/profiles/D3902365_031.nc,2023-12-16T22:23:38,-3.751,-133.259,P,846,AO,2024-05-16 11:13:12,core,,
aoml/5906548/profiles/D5906548_039.nc,2023-12-18T02:06:39,-2.59,-129.715,P,846,AO,2024-04-24 12:50:21,core,,
coriolis/2903776/profiles/D2903776_035.nc,2023-12-20T03:49:20,5.963,-15.840000000000003,A,844,IF,2025-08-28 14:00:10,core,,
coriolis/3902477/profiles/R3902477_064.nc,2023-12-21T05:34:00,-7.45,124.625,I,844,IF,2023-12-21 06:27:45,core,,
